"memInst","ctlrID","repairType","wordCount","wordSize","colMux","memBlock","block","efuseCfg","memIDBits","memIDSeq","memStartAddr","memEndAddr","numSlices","rgs[1]","rds[1]","wordStart[1]","wordStop[1]","rgs[2]","rds[2]","wordStart[2]","wordStop[2]","rgs[3]","rds[3]","wordStart[3]","wordStop[3]","rgs[4]","rds[4]","wordStart[4]","wordStop[4]","rgs[5]","rds[5]","wordStart[5]","wordStop[5]","rgs[6]","rds[6]","wordStart[6]","wordStop[6]","rgs[7]","rds[7]","wordStart[7]","wordStop[7]","rgs[8]","rds[8]","wordStart[8]","wordStop[8]","Suite name","Test name"
"820","8","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x04","1","32"
"821","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x00","1","32"
"822","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x02","1","32"
"823","8","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x00","1","32"
"824","8","-1","1024","25","4","1","0","0","0","0","0","1023","1","0x10","0x00","1","25"
"825","8","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x02","1","32"
"826","8","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x03","1","32"
"827","8","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x07","1","34"
"828","8","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x03","1","42"
"829","8","-1","512","28","4","1","0","0","0","0","0","511","1","0x21","0x00","1","28"
"2051","9","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x00","1","32","0x08","0x01","1","22"
"2052","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x06","1","32"
"2053","9","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x01","1","34"
"2054","9","-1","4096","32","16","1","0","0","0","0","0","4095","1","0x2F","0x00","1","32"
"2055","9","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x02","1","32"
"2056","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x07","1","32"
"2057","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x01","1","32"
"2060","9","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x03","1","34"
"2061","9","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x00","1","42"
"2062","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x04","1","32"
"2063","9","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x01","1","42"
"2064","9","-1","256","26","4","1","0","0","0","0","0","255","1","0x20","0x06","1","26"
"2065","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x04","1","32"
"2066","9","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x05","1","34"
"2067","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x03","1","32"
"2068","9","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x02","1","32","0x08","0x03","1","22"
"2069","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x05","1","32"
"2072","9","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x01","1","32"
"2073","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x04","1","32"
"2074","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x05","1","32"
"2075","9","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x02","1","42"
"2076","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x06","1","32"
"2077","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x00","1","32"
"2078","9","-1","64","20","1","1","0","0","0","0","0","63","1","0x09","0x05","1","20"
"2079","9","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x04","1","32"
"2080","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x00","1","32"
"2081","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x02","1","32"
"2082","9","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x00","1","32"
"2083","9","-1","1024","25","4","1","0","0","0","0","0","1023","1","0x10","0x00","1","25"
"2084","9","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x02","1","32"
"2085","9","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x03","1","32"
"2086","9","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x07","1","34"
"2087","9","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x03","1","42"
"2088","9","-1","512","28","4","1","0","0","0","0","0","511","1","0x21","0x00","1","28"
"1","10","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x00","1","32","0x08","0x01","1","22"
"2","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x06","1","32"
"3","10","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x01","1","34"
"4","10","-1","4096","32","16","1","0","0","0","0","0","4095","1","0x2F","0x00","1","32"
"5","10","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x02","1","32"
"6","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x07","1","32"
"7","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x01","1","32"
"10","10","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x03","1","34"
"11","10","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x00","1","42"
"12","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x16","0x04","1","32"
"13","10","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x01","1","42"
"14","10","-1","256","26","4","1","0","0","0","0","0","255","1","0x20","0x06","1","26"
"15","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x04","1","32"
"16","10","-1","1024","34","4","1","0","0","0","0","0","1023","1","0x16","0x05","1","34"
"17","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x03","1","32"
"18","10","-1","256","54","4","1","0","0","0","0","0","255","2","0x08","0x02","1","32","0x08","0x03","1","22"
"19","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x05","1","32"
"22","10","-1","16","32","1","1","0","0","0","0","0","15","1","0x00","0x01","1","32"
"23","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x04","1","32"
"24","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x20","0x05","1","32"
"25","10","-1","1024","42","4","1","0","0","0","0","0","1023","1","0x20","0x02","1","42"
"26","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x06","1","32"
"27","10","-1","1024","32","4","1","0","0","0","0","0","1023","1","0x0C","0x00","1","32"
"28","10","-1","64","20","1","1","0","0","0","0","0","63","1","0x09","0x05","1","20"
